what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui",1298064229618
started,bundle,org.eclipse.jface,3.6.1.M20100825-0800,"org.eclipse.jface",1298064229635
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1298064229644
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1298064229666
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1298064229666
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1298064229667
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1298064229680
started,bundle,org.eclipse.pde.ui,3.6.1.v20100810_r361,"org.eclipse.pde.ui",1298064229690
started,bundle,org.eclipse.team.core,3.5.100.R36x_v20100825-0800,"org.eclipse.team.core",1298064229696
started,bundle,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui",1298064229710
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1298064229729
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1298064229746
started,bundle,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.ide",1298064229754
started,bundle,org.eclipse.ui.intro.universal,3.2.402.r36_v20100702,"org.eclipse.ui.intro.universal",1298064229754
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1298064229784
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1298064229796
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1298064229808
started,bundle,org.junit.max.ui,1.2.20,"org.junit.max.ui",1298064229808
os,sysinfo,,,"macosx",1298064229812
arch,sysinfo,,,"x86_64",1298064229812
ws,sysinfo,,,"cocoa",1298064229812
locale,sysinfo,,,"de_DE",1298064229812
processors,sysinfo,,,"2",1298064229812
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1298064229812
java.runtime.version,sysinfo,,,"1.6.0_22-b04-307-10M3261",1298064229812
java.specification.name,sysinfo,,,"Java Platform API Specification",1298064229812
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1298064229812
java.specification.version,sysinfo,,,"1.6",1298064229812
java.vendor,sysinfo,,,"Apple Inc.",1298064229812
java.version,sysinfo,,,"1.6.0_22",1298064229812
java.vm.info,sysinfo,,,"mixed mode",1298064229812
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1298064229812
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1298064229812
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1298064229812
java.vm.specification.version,sysinfo,,,"1.0",1298064229812
java.vm.vendor,sysinfo,,,"Apple Inc.",1298064229812
java.vm.version,sysinfo,,,"17.1-b03-307",1298064229812
started,bundle,org.eclipse.team.svn.mylyn,0.7.9.I20100512-1900,"org.eclipse.team.svn.mylyn",1298064230042
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1298064230198
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1298064230219
closed,view,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.internal.introview",1298064230241
started,bundle,org.eclipse.team.svn.core,0.7.9.I20100917-1700,"org.eclipse.team.svn.core",1298064230533
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1298064230569
started,bundle,org.eclipse.team.svn.ui,0.7.9.I20101001-1700,"org.eclipse.team.svn.ui",1298064230766
